"YearType","Year","OrganizationGroupCode","OrganizationGroup","DepartmentCode","Department","UnionCode","Union","JobFamilyCode","JobFamily","JobCode","Job","EmployeeIdentifier","Salaries","Overtime","OtherSalaries","TotalSalary","Retirement","HealthDental","OtherBenefits","TotalBenefits","TotalCompensation"
"Calendar",2016,3,"Human Welfare & Neighborhood Development","DSS","Human Services",535,"SEIU - Human Services, Local 1021","2900","Human Services","2913","Program Specialist",44952,92404.03,623.11,1600,94627.14,17317.81,13890.5,7400.2,38608.51,133235.65
"Calendar",2016,4,"Community Health","DPH","Public Health",250,"SEIU - Health Workers, Local 1021","2300","Nursing","2303","Patient Care Assistant",16295,1224.45,0,105.21,1329.66,0,347.27,103.2,450.47,1780.13
"Calendar",2016,3,"Human Welfare & Neighborhood Development","DSS","Human Services",535,"SEIU - Human Services, Local 1021","2900","Human Services","2940","Protective Services Worker",33401,8544.7,0,9661.83,18206.53,2004.07,1138.25,1395.44,4537.76,22744.29
"Calendar",2016,1,"Public Protection","FIR","Fire Department",798,"Firefighters - Miscellaneous, Local 798","H000","Fire Services","H003","EMT/Paramedic/Firefighter",363,74432.58,6630.09,4154.24,85216.91,13709.17,13964.45,1414.66,29088.28,114305.19
"Calendar",2016,2,"Public Works, Transportation & Commerce","MTA","Municipal Transportation Agency",200,"Transportation Workers, Local 200","9100","Street Transit","9139","Transit Supervisor",39870,84212,33026.86,12662.28,129901.14,16966.21,14147.73,10315.77,41429.71,171330.85
"Calendar",2016,4,"Community Health","DPH","Public Health",791,"SEIU - Staff and Per Diem Nurses, Local 1021","2300","Nursing","P103","Special Nurse",8155,22712.85,0,3785.51,26498.36,0,1774.89,1210.58,2985.47,29483.83
"Calendar",2016,3,"Human Welfare & Neighborhood Development","DSS","Human Services",535,"SEIU - Human Services, Local 1021","2900","Human Services","2918","HSA Social Worker",9762,85900.3,0,648,86548.3,15944.46,13890.5,7192.22,37027.18,123575.48
"Calendar",2016,1,"Public Protection","POL","Police",790,"SEIU - Miscellaneous, Local 1021","9200","Airport Operation","9209","Community Police Services Aide",40103,60514.01,1513.59,8103.14,70130.74,12113.66,11408.22,5819.52,29341.4,99472.14
"Calendar",2016,1,"Public Protection","SHF","Sheriff",498,"Deputy Sheriffs' Association","8300","Correction & Detention","8306","Senior Deputy Sheriff",53759,31781.7,24757.88,5668.52,62208.1,9706.37,4064.25,1061.96,14832.58,77040.68
"Calendar",2016,1,"Public Protection","JUV","Juvenile Probation",790,"SEIU - Miscellaneous, Local 1021","8300","Correction & Detention","8564","Counselor,Log Cabin Rnch SFERS",4078,78585.01,2023.81,2609.74,83218.56,14699.1,13884.06,1593.76,30176.92,113395.48
"Calendar",2016,4,"Community Health","DPH","Public Health",791,"SEIU - Staff and Per Diem Nurses, Local 1021","2300","Nursing","P103","Special Nurse",27788,5007.35,0,161.67,5169.02,0,364.94,354.96,719.9,5888.92
"Calendar",2016,4,"Community Health","DPH","Public Health",250,"SEIU - Health Workers, Local 1021","2300","Nursing","2303","Patient Care Assistant",46123,76008.45,1429.65,4463.47,81901.57,14779.25,13887.8,6764.64,35431.69,117333.26
"Calendar",2016,1,"Public Protection","FIR","Fire Department",798,"Firefighters - Miscellaneous, Local 798","H000","Fire Services","H003","EMT/Paramedic/Firefighter",33392,97641.08,5690.47,6440.71,109772.26,18522.01,11373.75,1831.58,31727.34,141499.6
"Calendar",2016,4,"Community Health","DPH","Public Health",791,"SEIU - Staff and Per Diem Nurses, Local 1021","2300","Nursing","2320","Registered Nurse",35306,118391.76,761.74,21906.14,141059.64,24396.83,11961.84,10356.46,46715.13,187774.77
"Calendar",2016,6,"General Administration & Finance","CAT","City Attorney",790,"SEIU - Miscellaneous, Local 1021","1600","Payroll, Billing & Accounting","1632","Senior Account Clerk",21517,72745.32,0,648,73393.32,13521.1,13890.5,6097.86,33509.46,106902.78
"Calendar",2016,6,"General Administration & Finance","TTX","Treasurer/Tax Collector",790,"SEIU - Miscellaneous, Local 1021","4300","Revenue","4321","Cashier 2",5148,58092.81,778.19,0,58871,11707.94,13700.79,4680.43,30089.16,88960.16
"Calendar",2016,1,"Public Protection","POL","Police",911,"Police Officers' Association","Q000","Police Services","Q004","Police Officer 3",6048,109899.43,9983.21,4102.32,123984.96,19284.79,11832.65,2059.7,33177.14,157162.1
"Calendar",2016,4,"Community Health","DPH","Public Health",791,"SEIU - Staff and Per Diem Nurses, Local 1021","2300","Nursing","2320","Registered Nurse",35049,59588.93,908.6,8083.76,68581.29,12082.33,6639.34,5616.04,24337.71,92919
"Calendar",2016,1,"Public Protection","POL","Police",911,"Police Officers' Association","Q000","Police Services","Q052","Sergeant 3",3032,146124.42,32804.14,13677.74,192606.3,25659.87,13890.5,3290.59,42840.96,235447.26
"Calendar",2016,1,"Public Protection","POL","Police",911,"Police Officers' Association","Q000","Police Services","Q003","Police Officer 2",38686,33339.9,11103.28,3683.89,48127.07,5792.6,3601.24,823.28,10217.12,58344.19
"Calendar",2016,5,"Culture & Recreation","REC","Recreation and Park Commission",790,"SEIU - Miscellaneous, Local 1021","3200","Recreation","3264","Camp Assistant",52108,4707.71,0,18.41,4726.12,0,2366.53,366.83,2733.36,7459.48
"Calendar",2016,6,"General Administration & Finance","ADM","General Services Agency - City Admin",790,"SEIU - Miscellaneous, Local 1021","1400","Clerical, Secretarial & Steno","1406","Senior Clerk",47754,7524,0,0,7524,1552.96,2057.85,615.32,4226.13,11750.13
"Calendar",2016,2,"Public Works, Transportation & Commerce","MTA","Municipal Transportation Agency",790,"SEIU - Miscellaneous, Local 1021","8200","Protection & Apprehension","8201","School Crossing Guard",50212,1836.52,0,0,1836.52,0,699.35,142.55,841.9,2678.42
"Calendar",2016,1,"Public Protection","SHF","Sheriff",498,"Deputy Sheriffs' Association","8300","Correction & Detention","8304","Deputy Sheriff",8014,106582.7,20305.2,17634.82,144522.72,31983.13,13890.5,2463.95,48337.58,192860.3
"Calendar",2016,3,"Human Welfare & Neighborhood Development","DSS","Human Services",535,"SEIU - Human Services, Local 1021","2900","Human Services","2905","Senior Eligibility Worker",20225,24633.01,0,120,24753.01,4512.5,4630.17,1869.42,11012.09,35765.1
"Calendar",2016,4,"Community Health","DPH","Public Health",791,"SEIU - Staff and Per Diem Nurses, Local 1021","2300","Nursing","P103","Special Nurse",4382,54404.07,0,9126.48,63530.55,0,3996.73,2821.61,6818.34,70348.89
"Calendar",2016,2,"Public Works, Transportation & Commerce","WTR","PUC Water Department",252,"Transport Workers - Auto Svc Workers, Local 250-A","7400","Skilled Labor","7410","Automotive Service Worker",6976,59076.9,105.11,70.8,59252.81,10895.48,13890.5,4835.13,29621.11,88873.92
"Calendar",2016,4,"Community Health","DPH","Public Health",791,"SEIU - Staff and Per Diem Nurses, Local 1021","2300","Nursing","P103","Special Nurse",47298,11625.45,0,2334.61,13960.06,0,848.86,675.58,1524.44,15484.5
"Calendar",2016,4,"Community Health","DPH","Public Health",791,"SEIU - Staff and Per Diem Nurses, Local 1021","2300","Nursing","2328","Nurse Practitioner",22927,177079.24,2124.28,1058.64,180262.16,31769.51,13890.5,11246.94,56906.95,237169.11
"Calendar",2016,1,"Public Protection","POL","Police",911,"Police Officers' Association","Q000","Police Services","Q003","Police Officer 2",14237,113374.06,15130.98,7231.34,135736.38,21041.24,13851.91,2276.12,37169.27,172905.65
"Calendar",2016,2,"Public Works, Transportation & Commerce","MTA","Municipal Transportation Agency",253,"Transport Workers - Transit Operators, Local 250-A","9100","Street Transit","9163","Transit Operator",6221,66992.5,16159.41,4361.05,87512.96,16320.93,13539.38,6623.76,36484.07,123997.03
"Calendar",2016,5,"Culture & Recreation","FAM","Fine Arts Museum",790,"SEIU - Miscellaneous, Local 1021","8200","Protection & Apprehension","8226","Museum Guard",42961,0,0,0,0,0,0,130.68,130.68,130.68
"Calendar",2016,2,"Public Works, Transportation & Commerce","WTR","PUC Water Department",21,"Prof & Tech Engineers - Miscellaneous, Local 21","5300","Sub-Professional Engineering","5362","Engineering Assistant",39561,81177.6,0,0,81177.6,14955.09,13890.52,6605.97,35451.58,116629.18
"Calendar",2016,2,"Public Works, Transportation & Commerce","MTA","Municipal Transportation Agency",253,"Transport Workers - Transit Operators, Local 250-A","9100","Street Transit","9163","Transit Operator",721,64080.46,7604.65,1456.94,73142.05,14792.98,12899.45,5529.74,33222.17,106364.22
"Calendar",2016,4,"Community Health","DPH","Public Health",791,"SEIU - Staff and Per Diem Nurses, Local 1021","2300","Nursing","P103","Special Nurse",7763,158113.56,2452.86,18915.51,179481.93,0,11564.67,10851.13,22415.8,201897.73
"Calendar",2016,2,"Public Works, Transportation & Commerce","MTA","Municipal Transportation Agency",200,"Transportation Workers, Local 200","9100","Street Transit","9139","Transit Supervisor",49405,81818.63,20409.06,4428.29,106655.98,15212.39,11482.94,8741.7,35437.03,142093.01
"Calendar",2016,1,"Public Protection","FIR","Fire Department",798,"Firefighters - Miscellaneous, Local 798","H000","Fire Services","H002","Firefighter",52052,7200,0,21.6,7221.6,1278,1286.15,556.45,3120.6,10342.2
"Calendar",2016,2,"Public Works, Transportation & Commerce","ECN","Economic and Workforce Development",21,"Prof & Tech Engineers - Miscellaneous, Local 21","1800","Budget, Admn & Stats Analysis","1823","Senior Administrative Analyst",12851,34180.03,0,0,34180.03,6231,5144.63,2749.39,14125.02,48305.05
"Calendar",2016,2,"Public Works, Transportation & Commerce","CWP","PUC Wastewater Enterprise",216,"Teamsters, Local 853","7300","Journeyman Trade","7355","Truck Driver",2209,88693.5,6622.62,5732.22,101048.34,17205.02,13890.5,8062.53,39158.05,140206.39
"Calendar",2016,4,"Community Health","DPH","Public Health",791,"SEIU - Staff and Per Diem Nurses, Local 1021","2300","Nursing","P103","Special Nurse",39494,7659.23,0,331.55,7990.78,-39.44,562.7,464.87,988.13,8978.91
"Calendar",2016,2,"Public Works, Transportation & Commerce","AIR","Airport Commission",790,"SEIU - Miscellaneous, Local 1021","2700","Housekeeping & Laundry","2708","Custodian",33166,61166.3,0,6156.62,67322.92,11861.7,13890.5,5298.08,31050.28,98373.2
"Calendar",2016,2,"Public Works, Transportation & Commerce","DPW","General Services Agency - Public Works",21,"Prof & Tech Engineers - Miscellaneous, Local 21","5200","Professional Engineering","5201","Junior Engineer",22468,81330.71,0,0,81330.71,14979.7,13890.49,6557.43,35427.62,116758.33
"Calendar",2016,2,"Public Works, Transportation & Commerce","AIR","Airport Commission",251,"Transport Workers - Miscellaneous, Local 250-A","3500","Museum & Cultural Affairs","3542","Curator 2",11897,72045.41,0,0,72045.41,13268.06,13520.72,5839.74,32628.52,104673.93
"Calendar",2016,5,"Culture & Recreation","REC","Recreation and Park Commission",790,"SEIU - Miscellaneous, Local 1021","3200","Recreation","3279","Recreation Leader",38356,18.49,0,0,18.49,0,6.43,1.43,7.86,26.35
"Calendar",2016,3,"Human Welfare & Neighborhood Development","DSS","Human Services",1,"Miscellaneous Unrepresented Employees","9900","Public Service Aide","9916","Public Svc Aide-Public Works",9468,18567.31,0,872.14,19439.45,1363.42,8298.55,1573.31,11235.28,30674.73
"Calendar",2016,2,"Public Works, Transportation & Commerce","AIR","Airport Commission",22,"Prof & Tech Engineers - Personnel, Local 21","1200","Personnel","1244","Senior Personnel Analyst",34196,115629.74,0,0,115629.74,21302.54,13890.5,9529.3,44722.34,160352.08
"Calendar",2016,1,"Public Protection","FIR","Fire Department",798,"Firefighters Unit 1, Local 798","H000","Fire Services","H008","EMT Paramedic",16230,1163.36,0,0,1163.36,0,173.64,90.3,263.94,1427.3
"Calendar",2016,1,"Public Protection","FIR","Fire Department",798,"Firefighters - Miscellaneous, Local 798","H000","Fire Services","H002","Firefighter",33317,117565.95,71563.05,21260.18,210389.18,23286.96,16668.6,3552.78,43508.34,253897.52
"Calendar",2016,6,"General Administration & Finance","CPC","City Planning",21,"Prof & Tech Engineers - Miscellaneous, Local 21","5200","Professional Engineering","5293","Planner 4",38523,132728.14,0,0,132728.14,23823.22,13552.88,10388.45,47764.55,180492.69
"Calendar",2016,5,"Culture & Recreation","WAR","War Memorial",790,"SEIU - Miscellaneous, Local 1021","8200","Protection & Apprehension","8207","Bldg & Grounds Patrol Officer",29197,19035,991.41,1903.5,21929.91,3928.86,4630.17,1772.14,10331.17,32261.08
"Calendar",2016,4,"Community Health","DPH","Public Health",791,"SEIU - Staff and Per Diem Nurses, Local 1021","2300","Nursing","P103","Special Nurse",6618,39708.5,538.15,7727.74,47974.39,0,3167.29,1682.59,4849.88,52824.27
"Calendar",2016,1,"Public Protection","POL","Police",911,"Police Officers' Association","Q000","Police Services","Q052","Sergeant 3",17283,144905.03,45591.31,45564.96,236061.3,26963.91,13774.74,620.01,41358.66,277419.96
"Calendar",2016,5,"Culture & Recreation","REC","Recreation and Park Commission",790,"SEIU - Miscellaneous, Local 1021","9900","Public Service Aide","9910","Public Service Trainee",8872,7200,0,2.4,7202.4,0,3086.78,559.03,3645.81,10848.21
"Calendar",2016,4,"Community Health","DPH","Public Health",250,"SEIU - Health Workers, Local 1021","2700","Housekeeping & Laundry","2736","Porter",54363,61124.49,0,7856.6,68981.09,11974.68,13880.85,5701.48,31557.01,100538.1
"Calendar",2016,4,"Community Health","DPH","Public Health",164,"Physicians and Dentists - Miscellaneous","2200","Medical & Dental","2230","Physician Specialist",23400,190439.26,0,13672.5,204111.76,34145.14,13239.06,11544.41,58928.61,263040.37
"Calendar",2016,1,"Public Protection","FIR","Fire Department",798,"Firefighters - Miscellaneous, Local 798","H000","Fire Services","H003","EMT/Paramedic/Firefighter",27468,104931.53,43603.67,19718.45,168253.65,20476.28,12194.44,2800.51,35471.23,203724.88
"Calendar",2016,2,"Public Works, Transportation & Commerce","MTA","Municipal Transportation Agency",21,"Prof & Tech Engineers - Miscellaneous, Local 21","5500","Construction Project Mgmt","5502","Project Manager 1",44131,37324.9,0,0,37324.9,6625.19,3755.57,2897.94,13278.7,50603.6
"Calendar",2016,2,"Public Works, Transportation & Commerce","DPW","General Services Agency - Public Works",790,"SEIU - Miscellaneous, Local 1021","9900","Public Service Aide","9922","PS Aide To Prof",12797,44670.17,0,0,44670.17,9525.22,13871.21,3596.38,26992.81,71662.98
"Calendar",2016,2,"Public Works, Transportation & Commerce","PUC","PUC Public Utilities Commission",21,"Prof & Tech Engineers - Miscellaneous, Local 21","5100","Administrative-DPW/PUC","5177","Safety Officer",9979,47970.04,0,0,47970.04,8514.72,4630.17,3762.71,16907.6,64877.64
"Calendar",2016,6,"General Administration & Finance","TTX","Treasurer/Tax Collector",21,"Prof & Tech Engineers - Miscellaneous, Local 21","1000","Information Systems","1054","IS Business Analyst-Principal",48541,79077.73,0,0,79077.73,14120.08,7716.95,6122.27,27959.3,107037.03
"Calendar",2016,6,"General Administration & Finance","RET","Retirement System",21,"Prof & Tech Engineers - Miscellaneous, Local 21","1000","Information Systems","1053","IS Business Analyst-Senior",19932,112298.4,0,0,112298.4,20166.9,12861.57,8875.08,41903.55,154201.95
"Calendar",2016,1,"Public Protection","FIR","Fire Department",798,"Firefighters - Miscellaneous, Local 798","H000","Fire Services","H003","EMT/Paramedic/Firefighter",16649,137103.16,79529.69,17313.84,233946.69,26963.16,16822.94,3958.84,47744.94,281691.63
"Calendar",2016,5,"Culture & Recreation","REC","Recreation and Park Commission",790,"SEIU - Miscellaneous, Local 1021","3200","Recreation","3279","Recreation Leader",2043,1768.19,0,0,1768.19,0,688.07,137.25,825.32,2593.51
"Calendar",2016,2,"Public Works, Transportation & Commerce","AIR","Airport Commission",21,"Prof & Tech Engineers - Miscellaneous, Local 21","9200","Airport Operation","9206","Airport Property Specialist 1",38639,41618.61,0,212.65,41831.26,8590.05,6070.66,3376.98,18037.69,59868.95
"Calendar",2016,3,"Human Welfare & Neighborhood Development","DSS","Human Services",351,"Municipal Executive Association - Miscellaneous","0900","Management","0954","Dep Dir IV",30889,212754.03,0,0,212754.03,38167.72,13890.5,28129.03,80187.25,292941.28
"Calendar",2016,2,"Public Works, Transportation & Commerce","PUC","PUC Public Utilities Commission",21,"Prof & Tech Engineers - Miscellaneous, Local 21","5300","Sub-Professional Engineering","5382","Stdntdsgntrain3, Arch/Eng/Plng",54342,33629.6,0,0,33629.6,438.8,7202.48,2610.2,10251.48,43881.08
"Calendar",2016,1,"Public Protection","ECD","Department of Emergency Management",790,"SEIU - Miscellaneous, Local 1021","2500","Med Therapy & Auxiliary","2533","Emergency Med Svcs Agency Spec",14926,121983.2,0,700.72,122683.92,21886.93,13890.5,9935.9,45713.33,168397.25
"Calendar",2016,2,"Public Works, Transportation & Commerce","WTR","PUC Water Department",21,"Prof & Tech Engineers - Miscellaneous, Local 21","5300","Sub-Professional Engineering","5364","Engineering Associate 1",49350,89989.57,0,0,89989.57,16578.44,13890.49,7196.78,37665.71,127655.28
"Calendar",2016,4,"Community Health","DPH","Public Health",351,"Municipal Executive Association - Miscellaneous","0900","Management","0923","Manager II",21627,109153.55,0,0,109153.55,20106.35,13890.49,17267.54,51264.38,160417.93
"Calendar",2016,2,"Public Works, Transportation & Commerce","AIR","Airport Commission",790,"SEIU - Miscellaneous, Local 1021","2700","Housekeeping & Laundry","2708","Custodian",28616,41150,39.08,4697.88,45886.96,9378.59,11318.19,3695.12,24391.9,70278.86
"Calendar",2016,4,"Community Health","DPH","Public Health",791,"SEIU - Staff and Per Diem Nurses, Local 1021","2300","Nursing","P103","Special Nurse",39984,30847.7,0,6445.35,37293.05,0,2146.27,2348.95,4495.22,41788.27
"Calendar",2016,2,"Public Works, Transportation & Commerce","AIR","Airport Commission",790,"SEIU - Miscellaneous, Local 1021","2700","Housekeeping & Laundry","2708","Custodian",48270,60914.52,0,2362.65,63277.17,11340.53,13832.62,5939.38,31112.53,94389.7
"Calendar",2016,1,"Public Protection","POL","Police",911,"Police Officers' Association","Q000","Police Services","Q052","Sergeant 3",41330,145427.69,20113.36,26840.83,192381.88,25541.56,13826.2,3272.37,42640.13,235022.01
"Calendar",2016,5,"Culture & Recreation","REC","Recreation and Park Commission",790,"SEIU - Miscellaneous, Local 1021","3200","Recreation","3208","Pool Lifeguard",28349,1252.13,0,34.87,1287,283,434.08,99.89,816.97,2103.97
"Calendar",2016,1,"Public Protection","POL","Police",911,"Police Officers' Association","Q000","Police Services","Q052","Sergeant 3",24359,152667.1,7573.82,18437.4,178678.32,26803.08,13890.5,3050.73,43744.31,222422.63
"Calendar",2016,2,"Public Works, Transportation & Commerce","DPW","General Services Agency - Public Works",21,"Prof & Tech Engineers - Miscellaneous, Local 21","5200","Professional Engineering","5268","Architect",25323,61602.6,0,0,61602.6,10949.47,6996.71,4953.81,22899.99,84502.59
"Calendar",2016,2,"Public Works, Transportation & Commerce","MTA","Municipal Transportation Agency",253,"Transport Workers - Transit Operators, Local 250-A","9100","Street Transit","9163","Transit Operator",10674,76687.21,23932.56,2294.14,102913.91,17886.13,15444.3,8011.75,41342.18,144256.09
"Calendar",2016,1,"Public Protection","SHF","Sheriff",498,"Deputy Sheriffs' Association","8300","Correction & Detention","8304","Deputy Sheriff",25630,106570,8872.14,15123.83,130565.97,31473.17,13890.5,1500.52,46864.19,177430.16
"Calendar",2016,2,"Public Works, Transportation & Commerce","AIR","Airport Commission",21,"Prof & Tech Engineers - Miscellaneous, Local 21","7400","Skilled Labor","7457","Sign Worker",6648,73270.65,1166.82,50,74487.47,13507.5,13890.5,6052.6,33450.6,107938.07
"Calendar",2016,5,"Culture & Recreation","LIB","Public Library",790,"SEIU - Miscellaneous, Local 1021","3600","Library","3610","Library Assistant",1124,27136.73,0,1164.25,28300.98,5242.15,5691.25,2209.48,13142.88,41443.86
"Calendar",2016,1,"Public Protection","POL","Police",911,"Police Officers' Association","Q000","Police Services","Q002","Police Officer",34560,44326,0,0,44326,7878.6,7151.02,3397.33,18426.95,62752.95
"Calendar",2016,2,"Public Works, Transportation & Commerce","AIR","Airport Commission",790,"SEIU - Miscellaneous, Local 1021","2700","Housekeeping & Laundry","2708","Custodian",27222,43947.5,0,1036.35,44983.85,8085.56,9959.68,3749.34,21794.58,66778.43
"Calendar",2016,4,"Community Health","DPH","Public Health",21,"Prof & Tech Engineers - Miscellaneous, Local 21","2800","Public Health","2822","Health Educator",12400,84987.14,0,0,84987.14,17068.98,13815.46,6757.58,37642.02,122629.16
"Calendar",2016,3,"Human Welfare & Neighborhood Development","DSS","Human Services",535,"SEIU - Human Services, Local 1021","2900","Human Services","2907","Eligibility Worker Supervisor",54326,92404.02,0,45,92449.02,17031.53,13890.5,7623.93,38545.96,130994.98
"Calendar",2016,4,"Community Health","DPH","Public Health",791,"SEIU - Staff and Per Diem Nurses, Local 1021","2300","Nursing","P103","Special Nurse",6667,14113.2,0,51.92,14165.12,0,1028.92,934.21,1963.13,16128.25
"Calendar",2016,2,"Public Works, Transportation & Commerce","WTR","PUC Water Department",790,"SEIU - Miscellaneous, Local 1021","1700","Computer Operatns & Repro Svcs","1705","Communications Dispatcher 2",22994,75294.04,790.65,6239.35,82324.04,14070.62,13890.5,6813.36,34774.48,117098.52
"Calendar",2016,5,"Culture & Recreation","LIB","Public Library",790,"SEIU - Miscellaneous, Local 1021","3600","Library","3632","Librarian 2",6318,101362.8,0,2759.46,104122.26,19180.3,13890.5,8274.08,41344.88,145467.14
"Calendar",2016,1,"Public Protection","FIR","Fire Department",798,"Firefighters - Miscellaneous, Local 798","H000","Fire Services","H002","Firefighter",5624,119258.64,1707.41,21014.2,141980.25,23766.68,16977.26,2429.73,43173.67,185153.92
"Calendar",2016,1,"Public Protection","POL","Police",911,"Police Officers' Association","Q000","Police Services","Q002","Police Officer",20211,44645.3,0,0,44645.3,7935.28,7202.48,3444.38,18582.14,63227.44
"Calendar",2016,2,"Public Works, Transportation & Commerce","CWP","PUC Wastewater Enterprise",38,"Plumbers and Pipefitters, Local 38","7300","Journeyman Trade","7347","Plumber",7607,109082.82,3892.01,1137.32,114112.15,20305.53,13890.5,9094.81,43290.84,157402.99
"Calendar",2016,3,"Human Welfare & Neighborhood Development","DSS","Human Services",351,"Municipal Executive Association - Miscellaneous","0900","Management","0923","Manager II",19190,129386.64,0,0,129386.64,23206.16,13890.5,18175.44,55272.1,184658.74
"Calendar",2016,2,"Public Works, Transportation & Commerce","PUC","PUC Public Utilities Commission",351,"Municipal Executive Association - Miscellaneous","0900","Management","0933","Manager V",51252,187420.66,0,0,187420.66,33623.33,13890.5,19303.44,66817.27,254237.93
"Calendar",2016,5,"Culture & Recreation","REC","Recreation and Park Commission",261,"Laborers, Local 261","3400","Agriculture & Horticulture","3417","Gardener",8377,71515.6,0,3338.72,74854.32,13790.32,13890.5,6153.67,33834.49,108688.81
"Calendar",2016,6,"General Administration & Finance","TTX","Treasurer/Tax Collector",790,"SEIU - Miscellaneous, Local 1021","4300","Revenue","4334","Investigator, Tax Collector",27714,97493.11,0,0,97493.11,17960.95,13890.5,8043.65,39895.1,137388.21
"Calendar",2016,4,"Community Health","DPH","Public Health",791,"SEIU - Staff and Per Diem Nurses, Local 1021","2300","Nursing","2320","Registered Nurse",42639,101361.79,585.56,15658.78,117606.13,20298.51,10294.85,9509.47,40102.83,157708.96
"Calendar",2016,2,"Public Works, Transportation & Commerce","DPW","General Services Agency - Public Works",261,"Laborers, Local 261","7200","Supervisory-Labor & Trade","7215","General Laborer Supervisor 1",52826,76576.93,696.69,5868.81,83142.43,15188.62,13890.49,7907.18,36986.29,120128.72
"Calendar",2016,3,"Human Welfare & Neighborhood Development","ENV","Environment",21,"Prof & Tech Engineers - Miscellaneous, Local 21","1800","Budget, Admn & Stats Analysis","1823","Senior Administrative Analyst",331,110421.33,0,0,110421.33,20342.4,13890.5,9086.14,43319.04,153740.37
"Calendar",2016,3,"Human Welfare & Neighborhood Development","DSS","Human Services",535,"SEIU - Human Services, Local 1021","9700","Community Development","9704","Employment & Training Spec 3",3210,84282.11,0,765,85047.11,15663.25,13890.5,6773.65,36327.4,121374.51
"Calendar",2016,4,"Community Health","DPH","Public Health",791,"SEIU - Staff and Per Diem Nurses, Local 1021","2300","Nursing","2328","Nurse Practitioner",41868,197697.46,0,4725.78,202423.24,35997.64,13871.21,11464.31,61333.16,263756.4
"Calendar",2016,2,"Public Works, Transportation & Commerce","MTA","Municipal Transportation Agency",253,"Transport Workers - Transit Operators, Local 250-A","9100","Street Transit","9163","Transit Operator",39071,0,0,257.63,257.63,0,0,19.71,19.71,277.34
"Calendar",2016,3,"Human Welfare & Neighborhood Development","DSS","Human Services",535,"SEIU - Human Services, Local 1021","2900","Human Services","2940","Protective Services Worker",1926,88161.67,9704.63,1874.79,99741.09,16352.34,11572.14,8195.57,36120.05,135861.14
"Calendar",2016,2,"Public Works, Transportation & Commerce","DPW","General Services Agency - Public Works",261,"Laborers, Local 261","7500","Semi-Skilled & General Labor","7501","Environmental Service Worker",38889,47481.89,1776.23,1169.75,50427.87,10383.37,12861.55,4125.16,27370.08,77797.95
"Calendar",2016,2,"Public Works, Transportation & Commerce","AIR","Airport Commission",21,"Prof & Tech Engineers - Miscellaneous, Local 21","5300","Sub-Professional Engineering","5380","Stdntdsgntrain1, Arch/Eng/Plng",15464,10293.94,40.11,400,10734.05,0,2475.88,802.09,3277.97,14012.02
"Calendar",2016,2,"Public Works, Transportation & Commerce","MTA","Municipal Transportation Agency",790,"SEIU - Miscellaneous, Local 1021","2700","Housekeeping & Laundry","2716","Custodial Assistant Supervisor",44440,67292.9,7402.79,8751.52,83447.21,13195.94,13890.5,6870.97,33957.41,117404.62
"Calendar",2016,1,"Public Protection","SHF","Sheriff",498,"Deputy Sheriffs' Association","8300","Correction & Detention","8304","Deputy Sheriff",19164,105533.11,14862.7,11263.85,131659.66,30191.44,13755.9,2201.42,46148.76,177808.42
"Calendar",2016,2,"Public Works, Transportation & Commerce","AIR","Airport Commission",6,"Electrical Workers, Local 6","6200","Public Safety Inspection","6248","Electrical Inspector",5424,121983.32,16231.64,4167.48,142382.44,22633.49,13890.5,10450,46973.99,189356.43
"Calendar",2016,2,"Public Works, Transportation & Commerce","CWP","PUC Wastewater Enterprise",39,"Stationary Engineers, Local 39","7300","Journeyman Trade","7372","Stationary Eng, Sewage Plant",11066,78463.65,10788.47,2687.51,91939.63,14781.09,10512.79,7493.97,32787.85,124727.48
"Calendar",2016,4,"Community Health","DPH","Public Health",790,"SEIU - Miscellaneous, Local 1021","1600","Payroll, Billing & Accounting","1632","Senior Account Clerk",52523,72745.37,4764.34,0,77509.71,13401.73,13890.5,6413.19,33705.42,111215.13
"Calendar",2016,5,"Culture & Recreation","REC","Recreation and Park Commission",790,"SEIU - Miscellaneous, Local 1021","9900","Public Service Aide","9910","Public Service Trainee",36250,2344.17,0,5.2,2349.37,0,1190.15,182.35,1372.5,3721.87
"Calendar",2016,3,"Human Welfare & Neighborhood Development","DSS","Human Services",535,"SEIU - Human Services, Local 1021","2900","Human Services","2913","Program Specialist",404,92404.04,0,1140,93544.04,17233.34,13890.5,7421.62,38545.46,132089.5
"Calendar",2016,6,"General Administration & Finance","BOS","Board of Supervisors",22,"Prof & Tech Engineers - Personnel, Local 21","1800","Budget, Admn & Stats Analysis","1835","Legislative Assistant",39735,5528.26,0,489.33,6017.59,1080.25,712.98,488.5,2281.73,8299.32
"Calendar",2016,5,"Culture & Recreation","REC","Recreation and Park Commission",790,"SEIU - Miscellaneous, Local 1021","3200","Recreation","3279","Recreation Leader",54114,7240.68,0,481.17,7721.85,0,2900.28,599.34,3499.62,11221.47
"Calendar",2016,5,"Culture & Recreation","LIB","Public Library",790,"SEIU - Miscellaneous, Local 1021","3600","Library","3618","Library Technical Assistant 2",38619,77003.28,0,0,77003.28,14170.17,12493.21,5670.15,32333.53,109336.81
